date,identifier,product,company_name,company_twitter
2019-05-14T00:00:00Z,FOXNEWSW_20190514_060000_The_Ingraham_Angle,usaa,usaa,usaa
2019-05-14T00:00:00Z,FOXNEWSW_20190514_020000_The_Ingraham_Angle,usaa,usaa,usaa
2019-05-14T00:00:00Z,FOXNEWSW_20190514_070000_Fox_News__Night_With_Shannon_Bream,tripadvisor,tripadvisor,tripadvisor
2019-05-14T00:00:00Z,FOXNEWSW_20190514_070000_Fox_News__Night_With_Shannon_Bream,safelite,safelite,safelite
2019-05-14T00:00:00Z,FOXNEWSW_20190514_130000_Americas_Newsroom_With_Bill_Hemmer_and_Sandra_Smith,safelite,safelite,safelite
2019-05-14T00:00:00Z,FOXNEWSW_20190514_100000_FOX__Friends,safelite,safelite,safelite
2019-05-14T00:00:00Z,FOXNEWSW_20190514_060000_The_Ingraham_Angle,safelite,safelite,safelite
2019-05-14T00:00:00Z,FOXNEWSW_20190514_030000_Fox_News__Night_With_Shannon_Bream,priceline,priceline,priceline
2019-05-14T00:00:00Z,FOXNEWSW_20190514_160000_Outnumbered,newday usa,newday usa,newdayusa
2019-05-14T00:00:00Z,FOXNEWSW_20190514_090000_Fox_and_Friends_First,mercedes-benz,mercedes-benz,mercedesbenz
2019-05-14T00:00:00Z,FOXNEWSW_20190514_070000_Fox_News__Night_With_Shannon_Bream,geico,geico,geico
2019-05-14T00:00:00Z,FOXNEWSW_20190514_040000_Tucker_Carlson_Tonight,essilor,essilor,essilor
2019-05-14T00:00:00Z,FOXNEWSW_20190514_050000_Hannity,trulicity,eli lilly,lillypad
2019-05-14T00:00:00Z,FOXNEWSW_20190514_010000_Hannity,trulicity,eli lilly,lillypad
2019-05-14T00:00:00Z,FOXNEWSW_20190514_010000_Hannity,scholl,dr. scholl's,drscholls
2019-05-14T00:00:00Z,FOXNEWSW_20190514_080000_Fox_and_Friends_First,custom ink,custom ink,customink
2019-05-14T00:00:00Z,FOXNEWSW_20190514_090000_Fox_and_Friends_First,xfinity,comcast,comcast
2019-05-14T00:00:00Z,FOXNEWSW_20190514_090000_Fox_and_Friends_First,otezla,celgene,celgene
2019-05-14T00:00:00Z,FOXNEWSW_20190514_030000_Fox_News__Night_With_Shannon_Bream,otezla,celgene,celgene
2019-05-14T00:00:00Z,FOXNEWSW_20190514_050000_Hannity,brita,amgen,amgen
2019-05-14T00:00:00Z,FOXNEWSW_20190514_020000_The_Ingraham_Angle,brita,amgen,amgen
