date,identifier,product,company_name,company_twitter
2019-05-04T00:00:00Z,FOXNEWSW_20190504_160000_Americas_News_HQ,usaa,usaa,usaa
2019-05-04T00:00:00Z,FOXNEWSW_20190504_060000_The_Ingraham_Angle,usaa,usaa,usaa
2019-05-04T00:00:00Z,FOXNEWSW_20190504_140000_Cavuto_Live,usaa,usaa,usaa
2019-05-04T00:00:00Z,FOXNEWSW_20190504_020000_The_Ingraham_Angle,usaa,usaa,usaa
2019-05-04T00:00:00Z,FOXNEWSW_20190504_140000_Cavuto_Live,tripadvisor,tripadvisor,tripadvisor
2019-05-04T00:00:00Z,FOXNEWSW_20190504_100000_Fox_and_Friends_Saturday,hartford,the hartford,thehartford
2019-05-04T00:00:00Z,FOXNEWSW_20190504_010000_Hannity,toujeo,sanofi,sanofi
2019-05-04T00:00:00Z,FOXNEWSW_20190504_070000_Fox_News__Night_With_Shannon_Bream,geico,geico,geico
2019-05-04T00:00:00Z,FOXNEWSW_20190504_090000_The_Five,geico,geico,geico
2019-05-04T00:00:00Z,FOXNEWSW_20190504_070000_Fox_News__Night_With_Shannon_Bream,fidelity,fidelity investments,fidelity
2019-05-04T00:00:00Z,FOXNEWSW_20190504_140000_Cavuto_Live,expedia,expedia,expedia
2019-05-04T00:00:00Z,FOXNEWSW_20190504_040000_Tucker_Carlson_Tonight,essilor,essilor,essilor
2019-05-04T00:00:00Z,FOXNEWSW_20190504_140000_Cavuto_Live,schwab,charles schwab corporation,charlesschwab
2019-05-04T00:00:00Z,FOXNEWSW_20190504_020000_The_Ingraham_Angle,bausch + lomb,bausch health,bauschlomb
2019-05-04T00:00:00Z,FOXNEWSW_20190504_140000_Cavuto_Live,brilinta,astrazeneca,astrazeneca
2019-05-04T00:00:00Z,FOXNEWSW_20190504_020000_The_Ingraham_Angle,brita,amgen,amgen
2019-05-04T00:00:00Z,FOXNEWSW_20190504_030000_Fox_News__Night_With_Shannon_Bream,humira,abbvie,abbvie
2019-05-04T00:00:00Z,FOXNEWSW_20190504_090000_The_Five,humira,abbvie,abbvie
