date,identifier,product,company_name,company_twitter
2019-05-09T00:00:00Z,FOXNEWSW_20190509_030000_Fox_News__Night_With_Shannon_Bream,wells fargo,wells fargo,wellsfargo
2019-05-09T00:00:00Z,FOXNEWSW_20190509_070000_Fox_News__Night_With_Shannon_Bream,wells fargo,wells fargo,wellsfargo
2019-05-09T00:00:00Z,FOXNEWSW_20190509_060000_The_Ingraham_Angle,usaa,usaa,usaa
2019-05-09T00:00:00Z,FOXNEWSW_20190509_020000_The_Ingraham_Angle,usaa,usaa,usaa
2019-05-09T00:00:00Z,FOXNEWSW_20190509_070000_Fox_News__Night_With_Shannon_Bream,safelite,safelite,safelite
2019-05-09T00:00:00Z,FOXNEWSW_20190509_030000_Fox_News__Night_With_Shannon_Bream,safelite,safelite,safelite
2019-05-09T00:00:00Z,FOXNEWSW_20190509_170000_Outnumbered_Overtime_With_Harris_Faulkner,newday usa,newday usa,newdayusa
2019-05-09T00:00:00Z,FOXNEWSW_20190509_030000_Fox_News__Night_With_Shannon_Bream,geico,geico,geico
2019-05-09T00:00:00Z,FOXNEWSW_20190509_070000_Fox_News__Night_With_Shannon_Bream,geico,geico,geico
2019-05-09T00:00:00Z,FOXNEWSW_20190509_090000_Fox_and_Friends_First,geico,geico,geico
2019-05-09T00:00:00Z,FOXNEWSW_20190509_050000_Hannity,essilor,essilor,essilor
2019-05-09T00:00:00Z,FOXNEWSW_20190509_020000_The_Ingraham_Angle,scholl,dr. scholl's,drscholls
2019-05-09T00:00:00Z,FOXNEWSW_20190509_010000_Hannity,scholl,dr. scholl's,drscholls
2019-05-09T00:00:00Z,FOXNEWSW_20190509_090000_Fox_and_Friends_First,custom ink,custom ink,customink
2019-05-09T00:00:00Z,FOXNEWSW_20190509_130000_Americas_Newsroom_With_Bill_Hemmer_and_Sandra_Smith,comcast business,comcast,comcast
2019-05-09T00:00:00Z,FOXNEWSW_20190509_090000_Fox_and_Friends_First,badda boom,choice hotels,choicehotels
2019-05-09T00:00:00Z,FOXNEWSW_20190509_030000_Fox_News__Night_With_Shannon_Bream,otezla,celgene,celgene
