date,identifier,product,company_name,company_twitter
2019-10-27T00:00:00Z,FOXNEWSW_20191027_200000_Americas_News_HQ,voya,voya financial,voya
2019-10-26T00:00:00Z,FOXNEWSW_20191026_060000_The_Ingraham_Angle,voya,voya financial,voya
2019-10-27T00:00:00Z,FOXNEWSW_20191027_090000_FOX_Report_With_Jon_Scott,verizon,verizon,verizonwireless
2019-10-30T00:00:00Z,FOXNEWSW_20191030_200000_Your_World_With_Neil_Cavuto,verizon,verizon,verizonwireless
2019-10-30T00:00:00Z,FOXNEWSW_20191030_220000_Special_Report_With_Bret_Baier,verizon,verizon,verizonwireless
2019-10-27T00:00:00Z,FOXNEWSW_20191027_210000_The_Greg_Gutfeld_Show,verizon,verizon,verizonwireless
2019-11-01T00:00:00Z,FOXNEWSW_20191101_220000_Special_Report_With_Bret_Baier,verizon,verizon,verizonwireless
2019-10-30T00:00:00Z,FOXNEWSW_20191030_130000_Americas_Newsroom_With_Bill_Hemmer_and_Sandra_Smith,verizon,verizon,verizonwireless
2019-10-26T00:00:00Z,FOXNEWSW_20191026_180000_Americas_News_HQ,usaa,usaa,usaa
2019-10-27T00:00:00Z,FOXNEWSW_20191027_090000_FOX_Report_With_Jon_Scott,usaa,usaa,usaa
2019-10-27T00:00:00Z,FOXNEWSW_20191027_140000_Sunday_Morning_Futures_With_Maria_Bartiromo,usaa,usaa,usaa
2019-11-01T00:00:00Z,FOXNEWSW_20191101_200000_Your_World_With_Neil_Cavuto,usaa,usaa,usaa
2019-10-29T00:00:00Z,FOXNEWSW_20191029_200000_Your_World_With_Neil_Cavuto,usaa,usaa,usaa
2019-10-28T00:00:00Z,FOXNEWSW_20191028_180000_The_Daily_Briefing_With_Dana_Perino,usaa,usaa,usaa
2019-10-26T00:00:00Z,FOXNEWSW_20191026_230000_Life_Liberty__Levin,usaa,usaa,usaa
2019-10-27T00:00:00Z,FOXNEWSW_20191027_180000_Fox_News_Sunday_With_Chris_Wallace,usaa,usaa,usaa
2019-10-31T00:00:00Z,FOXNEWSW_20191031_230000_The_Story_With_Martha_MacCallum,usaa,usaa,usaa
2019-10-26T00:00:00Z,FOXNEWSW_20191026_140000_Cavuto_Live,usaa,usaa,usaa
2019-10-30T00:00:00Z,FOXNEWSW_20191030_200000_Your_World_With_Neil_Cavuto,usaa,usaa,usaa
2019-10-29T00:00:00Z,FOXNEWSW_20191029_220000_Special_Report_With_Bret_Baier,usaa,usaa,usaa
2019-10-26T00:00:00Z,FOXNEWSW_20191026_090000_The_Five,usaa,usaa,usaa
2019-10-28T00:00:00Z,FOXNEWSW_20191028_210000_The_Five,usaa,usaa,usaa
