date,identifier,product,company_name,company_twitter
2019-09-14T00:00:00Z,FOXNEWSW_20190914_230000_Life_Liberty__Levin,yahoo,yahoo,yahoo
2019-09-15T00:00:00Z,FOXNEWSW_20190915_210000_The_Greg_Gutfeld_Show,wayfair,wayfair,wayfair
2019-09-20T00:00:00Z,FOXNEWSW_20190920_200000_Your_World_With_Neil_Cavuto,walgreen,walgreens,walgreens
2019-09-16T00:00:00Z,FOXNEWSW_20190916_100000_FOX__Friends,walgreens,walgreens,walgreens
2019-09-17T00:00:00Z,FOXNEWSW_20190917_220000_Special_Report_With_Bret_Baier,voya,voya financial,voya
2019-09-20T00:00:00Z,FOXNEWSW_20190920_180000_The_Daily_Briefing_With_Dana_Perino,voya,voya financial,voya
2019-09-19T00:00:00Z,FOXNEWSW_20190919_010000_Hannity,voya,voya financial,voya
2019-09-20T00:00:00Z,FOXNEWSW_20190920_090000_Fox_and_Friends_First,voya,voya financial,voya
2019-09-18T00:00:00Z,FOXNEWSW_20190918_210000_The_Five,voya,voya financial,voya
2019-09-17T00:00:00Z,FOXNEWSW_20190917_160000_Outnumbered,usaa,usaa,usaa
2019-09-18T00:00:00Z,FOXNEWSW_20190918_190000_Shepard_Smith_Reporting,usaa,usaa,usaa
2019-09-15T00:00:00Z,FOXNEWSW_20190915_140000_Sunday_Morning_Futures_With_Maria_Bartiromo,usaa,usaa,usaa
2019-09-17T00:00:00Z,FOXNEWSW_20190917_200000_Your_World_With_Neil_Cavuto,usaa,usaa,usaa
2019-09-18T00:00:00Z,FOXNEWSW_20190918_230000_The_Story_With_Martha_MacCallum,usaa,usaa,usaa
2019-09-15T00:00:00Z,FOXNEWSW_20190915_100000_Fox_and_Friends_Sunday,usaa,usaa,usaa
2019-09-18T00:00:00Z,FOXNEWSW_20190918_180000_The_Daily_Briefing_With_Dana_Perino,usaa,usaa,usaa
2019-09-18T00:00:00Z,FOXNEWSW_20190918_100000_FOX__Friends,usaa,usaa,usaa
2019-09-17T00:00:00Z,FOXNEWSW_20190917_190000_Shepard_Smith_Reporting,usaa,usaa,usaa
2019-09-19T00:00:00Z,FOXNEWSW_20190919_170000_Outnumbered_Overtime_With_Harris_Faulkner,usaa,usaa,usaa
2019-09-19T00:00:00Z,FOXNEWSW_20190919_230000_The_Story_With_Martha_MacCallum,usaa,usaa,usaa
2019-09-19T00:00:00Z,FOXNEWSW_20190919_190000_Shepard_Smith_Reporting,usaa,usaa,usaa
2019-09-16T00:00:00Z,FOXNEWSW_20190916_170000_Outnumbered_Overtime_With_Harris_Faulkner,usaa,usaa,usaa
2019-09-20T00:00:00Z,FOXNEWSW_20190920_100000_FOX__Friends,usaa,usaa,usaa
2019-09-20T00:00:00Z,FOXNEWSW_20190920_190000_Shepard_Smith_Reporting,usaa,usaa,usaa
2019-09-14T00:00:00Z,FOXNEWSW_20190914_090000_The_Five,usaa,usaa,usaa
