date,identifier,product,company_name,company_twitter
2019-05-06T00:00:00Z,FOXNEWSW_20190506_050000_Life_Liberty__Levin,toyota,toyota,toyota
2019-05-06T00:00:00Z,FOXNEWSW_20190506_050000_Life_Liberty__Levin,subaru outback,subaru,subaru_usa
2019-05-06T00:00:00Z,FOXNEWSW_20190506_050000_Life_Liberty__Levin,subaru outback,subaru,subaru_usa
2019-05-06T00:00:00Z,FOXNEWSW_20190506_020000_Life_Liberty__Levin,opentable,opentable,opentable
2019-05-06T00:00:00Z,FOXNEWSW_20190506_020000_Life_Liberty__Levin,cosentyx,novartis,novartis
2019-05-06T00:00:00Z,FOXNEWSW_20190506_160000_Outnumbered,newday usa,newday usa,newdayusa
2019-05-06T00:00:00Z,FOXNEWSW_20190506_160000_Outnumbered,newday usa,newday usa,newdayusa
2019-05-06T00:00:00Z,FOXNEWSW_20190506_050000_Life_Liberty__Levin,honda,honda,honda
2019-05-06T00:00:00Z,FOXNEWSW_20190506_010000_The_Next_Revolution_With_Steve_Hilton,geico,geico,geico
2019-05-06T00:00:00Z,FOXNEWSW_20190506_080000_Fox_and_Friends_First,geico,geico,geico
2019-05-06T00:00:00Z,FOXNEWSW_20190506_040000_The_Next_Revolution_With_Steve_Hilton,geico,geico,geico
2019-05-06T00:00:00Z,FOXNEWSW_20190506_050000_Life_Liberty__Levin,geico,geico,geico
2019-05-06T00:00:00Z,FOXNEWSW_20190506_020000_Life_Liberty__Levin,eggland,eggland's best,egglandsbest
2019-05-06T00:00:00Z,FOXNEWSW_20190506_010000_The_Next_Revolution_With_Steve_Hilton,scholl,dr. scholl's,drscholls
2019-05-06T00:00:00Z,FOXNEWSW_20190506_000000_Watters_World,badda boom,choice hotels,choicehotels
2019-05-06T00:00:00Z,FOXNEWSW_20190506_090000_Fox_and_Friends_First,otezla,celgene,celgene
2019-05-06T00:00:00Z,FOXNEWSW_20190506_040000_The_Next_Revolution_With_Steve_Hilton,symbicort,astrazeneca,astrazeneca
2019-05-06T00:00:00Z,FOXNEWSW_20190506_020000_Life_Liberty__Levin,astrazeneca,astrazeneca,astrazeneca
2019-05-06T00:00:00Z,FOXNEWSW_20190506_020000_Life_Liberty__Levin,brilinta,astrazeneca,astrazeneca
2019-05-06T00:00:00Z,FOXNEWSW_20190506_010000_The_Next_Revolution_With_Steve_Hilton,symbicort,astrazeneca,astrazeneca
2019-05-06T00:00:00Z,FOXNEWSW_20190506_050000_Life_Liberty__Levin,brilinta,astrazeneca,astrazeneca
2019-05-06T00:00:00Z,FOXNEWSW_20190506_070000_MediaBuzz,brita,amgen,amgen
2019-05-06T00:00:00Z,FOXNEWSW_20190506_050000_Life_Liberty__Levin,allstate,allstate,allstate
