date,identifier,product,company_name,company_twitter
2019-10-13T00:00:00Z,FOXNEWSW_20191013_210000_The_Greg_Gutfeld_Show,wayfair,wayfair,wayfair
2019-10-15T00:00:00Z,FOXNEWSW_20191015_090000_Fox_and_Friends_First,walgreens,walgreens,walgreens
2019-10-18T00:00:00Z,FOXNEWSW_20191018_090000_Fox_and_Friends_First,walgreens,walgreens,walgreens
2019-10-13T00:00:00Z,FOXNEWSW_20191013_210000_The_Greg_Gutfeld_Show,voya,voya financial,voya
2019-10-13T00:00:00Z,FOXNEWSW_20191013_100000_Fox_and_Friends_Sunday,usaa,usaa,usaa
2019-10-15T00:00:00Z,FOXNEWSW_20191015_230000_The_Story_With_Martha_MacCallum,usaa,usaa,usaa
2019-10-13T00:00:00Z,FOXNEWSW_20191013_210000_The_Greg_Gutfeld_Show,usaa,usaa,usaa
2019-10-16T00:00:00Z,FOXNEWSW_20191016_230000_The_Story_With_Martha_MacCallum,usaa,usaa,usaa
2019-10-17T00:00:00Z,FOXNEWSW_20191017_210000_The_Five,usaa,usaa,usaa
2019-10-16T00:00:00Z,FOXNEWSW_20191016_220000_Special_Report_With_Bret_Baier,usaa,usaa,usaa
2019-10-14T00:00:00Z,FOXNEWSW_20191014_210000_The_Five,usaa,usaa,usaa
2019-10-17T00:00:00Z,FOXNEWSW_20191017_230000_The_Story_With_Martha_MacCallum,usaa,usaa,usaa
2019-10-18T00:00:00Z,FOXNEWSW_20191018_220000_Special_Report_With_Bret_Baier,usaa,usaa,usaa
2019-10-13T00:00:00Z,FOXNEWSW_20191013_230000_Fox_News_Sunday_With_Chris_Wallace,usaa,usaa,usaa
2019-10-12T00:00:00Z,FOXNEWSW_20191012_140000_Cavuto_Live,usaa,usaa,usaa
2019-10-12T00:00:00Z,FOXNEWSW_20191012_070000_Fox_News__Night_With_Shannon_Bream,usaa,usaa,usaa
2019-10-12T00:00:00Z,FOXNEWSW_20191012_100000_Fox_and_Friends_Saturday,usaa,usaa,usaa
2019-10-12T00:00:00Z,FOXNEWSW_20191012_090000_The_Five,usaa,usaa,usaa
2019-10-17T00:00:00Z,FOXNEWSW_20191017_200000_Your_World_With_Neil_Cavuto,usaa,usaa,usaa
2019-10-18T00:00:00Z,FOXNEWSW_20191018_180000_The_Daily_Briefing_With_Dana_Perino,unitedhealthcare insurance company,unitedhealthcare,uhc
2019-10-16T00:00:00Z,FOXNEWSW_20191016_090000_Fox_and_Friends_First,tiaa,tiaa,tiaa
2019-10-12T00:00:00Z,FOXNEWSW_20191012_180000_Americas_News_HQ,tiaa,tiaa,tiaa
2019-10-16T00:00:00Z,FOXNEWSW_20191016_200000_Your_World_With_Neil_Cavuto,tiaa,tiaa,tiaa
2019-10-14T00:00:00Z,FOXNEWSW_20191014_030000_Fox_Nation_Presents_Scandalous_The_Subway_Vigilante,entyvio,takeda,takedapharma
2019-10-13T00:00:00Z,FOXNEWSW_20191013_050000_The_Greg_Gutfeld_Show,entyvio,takeda,takedapharma
2019-10-13T00:00:00Z,FOXNEWSW_20191013_030000_Watters_World,entyvio,takeda,takedapharma
2019-10-14T00:00:00Z,FOXNEWSW_20191014_050000_Life_Liberty__Levin,entyvio,takeda,takedapharma
2019-10-12T00:00:00Z,FOXNEWSW_20191012_190000_The_Journal_Editorial_Report,entyvio,takeda,takedapharma
2019-10-13T00:00:00Z,FOXNEWSW_20191013_170000_Americas_News_HQ,entyvio,takeda,takedapharma
2019-10-18T00:00:00Z,FOXNEWSW_20191018_030000_Fox_News__Night_With_Shannon_Bream,subaru,subaru,subaru_usa
