date,identifier,product,company_name,company_twitter
2019-12-13T00:00:00Z,FOXNEWSW_20191213_110000_FOX__Friends,verizon,verizon,verizonwireless
2019-12-07T00:00:00Z,FOXNEWSW_20191207_000000_The_Story_With_Martha_MacCallum,verizon,verizon,verizonwireless
2019-12-10T00:00:00Z,FOXNEWSW_20191210_000000_The_Story_With_Martha_MacCallum,verizon,verizon,verizonwireless
2019-12-07T00:00:00Z,FOXNEWSW_20191207_040000_Fox_News__Night_With_Shannon_Bream,verizon,verizon,verizonwireless
2019-12-12T00:00:00Z,FOXNEWSW_20191212_110000_FOX__Friends,verizon,verizon,verizonwireless
2019-12-09T00:00:00Z,FOXNEWSW_20191209_180000_Outnumbered_Overtime_With_Harris_Faulkner,verizon,verizon,verizonwireless
2019-12-13T00:00:00Z,FOXNEWSW_20191213_040000_Fox_News__Night_With_Shannon_Bream,verizon,verizon,verizonwireless
2019-12-09T00:00:00Z,FOXNEWSW_20191209_230000_Special_Report_With_Bret_Baier,usaa,usaa,usaa
2019-12-10T00:00:00Z,FOXNEWSW_20191210_040000_Fox_News__Night_With_Shannon_Bream,usaa,usaa,usaa
2019-12-10T00:00:00Z,FOXNEWSW_20191210_000000_The_Story_With_Martha_MacCallum,usaa,usaa,usaa
2019-12-13T00:00:00Z,FOXNEWSW_20191213_000000_The_Story_With_Martha_MacCallum,usaa,usaa,usaa
2019-12-08T00:00:00Z,FOXNEWSW_20191208_110000_Fox_and_Friends_Sunday,usaa,usaa,usaa
2019-12-12T00:00:00Z,FOXNEWSW_20191212_180000_Outnumbered_Overtime_With_Harris_Faulkner,usaa,usaa,usaa
2019-12-10T00:00:00Z,FOXNEWSW_20191210_080000_Fox_News__Night_With_Shannon_Bream,usaa,usaa,usaa
2019-12-08T00:00:00Z,FOXNEWSW_20191208_150000_Sunday_Morning_Futures_With_Maria_Bartiromo,usaa,usaa,usaa
2019-12-08T00:00:00Z,FOXNEWSW_20191208_170000_Americas_News_HQ,usaa,usaa,usaa
2019-12-11T00:00:00Z,FOXNEWSW_20191211_110000_FOX__Friends,usaa,usaa,usaa
2019-12-11T00:00:00Z,FOXNEWSW_20191211_190000_The_Daily_Briefing_With_Dana_Perino,usaa,usaa,usaa
2019-12-13T00:00:00Z,FOXNEWSW_20191213_200000_Fox_News_Reporting,usaa,usaa,usaa
2019-12-07T00:00:00Z,FOXNEWSW_20191207_000000_The_Story_With_Martha_MacCallum,usaa,usaa,usaa
2019-12-07T00:00:00Z,FOXNEWSW_20191207_110000_Fox_and_Friends_Saturday,usaa,usaa,usaa
2019-12-12T00:00:00Z,FOXNEWSW_20191212_000000_The_Story_With_Martha_MacCallum,usaa,usaa,usaa
2019-12-13T00:00:00Z,FOXNEWSW_20191213_230000_Special_Report_With_Bret_Baier,usaa,usaa,usaa
2019-12-10T00:00:00Z,FOXNEWSW_20191210_210000_Your_World_With_Neil_Cavuto,usaa,usaa,usaa
2019-12-09T00:00:00Z,FOXNEWSW_20191209_000000_Fox_News_Sunday_With_Chris_Wallace,usaa,usaa,usaa
2019-12-13T00:00:00Z,FOXNEWSW_20191213_220000_The_Five,usaa,usaa,usaa
2019-12-10T00:00:00Z,FOXNEWSW_20191210_110000_FOX__Friends,usaa,usaa,usaa
2019-12-13T00:00:00Z,FOXNEWSW_20191213_210000_Your_World_With_Neil_Cavuto,usaa,usaa,usaa
2019-12-07T00:00:00Z,FOXNEWSW_20191207_170000_Americas_News_HQ,unitedhealthcare,unitedhealthcare,uhc
2019-12-07T00:00:00Z,FOXNEWSW_20191207_210000_Americas_News_HQ,unitedhealthcare,unitedhealthcare,uhc
2019-12-09T00:00:00Z,FOXNEWSW_20191209_010000_Scandalous,united explorer card,united airlines,united
2019-12-09T00:00:00Z,FOXNEWSW_20191209_010000_Scandalous,united explorer card,united airlines,united
2019-12-08T00:00:00Z,FOXNEWSW_20191208_020000_Justice_With_Judge_Jeanine,united explorer card,united airlines,united
2019-12-08T00:00:00Z,FOXNEWSW_20191208_020000_Justice_With_Judge_Jeanine,united explorer card,united airlines,united
2019-12-11T00:00:00Z,FOXNEWSW_20191211_090000_Fox_and_Friends_First,tesla,tesla,tesla
2019-12-08T00:00:00Z,FOXNEWSW_20191208_060000_The_Greg_Gutfeld_Show,entyvio,takeda,takedapharma
2019-12-09T00:00:00Z,FOXNEWSW_20191209_050000_The_Next_Revolution_With_Steve_Hilton,entyvio,takeda,takedapharma
2019-12-11T00:00:00Z,FOXNEWSW_20191211_210000_Your_World_With_Neil_Cavuto,t. rowe price,t. rowe price,troweprice
2019-12-11T00:00:00Z,FOXNEWSW_20191211_190000_The_Daily_Briefing_With_Dana_Perino,subaru,subaru,subaru_usa
2019-12-09T00:00:00Z,FOXNEWSW_20191209_050000_The_Next_Revolution_With_Steve_Hilton,subaru,subaru,subaru_usa
2019-12-09T00:00:00Z,FOXNEWSW_20191209_050000_The_Next_Revolution_With_Steve_Hilton,subaru,subaru,subaru_usa
2019-12-11T00:00:00Z,FOXNEWSW_20191211_190000_The_Daily_Briefing_With_Dana_Perino,subaru,subaru,subaru_usa
2019-12-09T00:00:00Z,FOXNEWSW_20191209_020000_The_Next_Revolution_With_Steve_Hilton,subaru,subaru,subaru_usa
2019-12-09T00:00:00Z,FOXNEWSW_20191209_020000_The_Next_Revolution_With_Steve_Hilton,subaru,subaru,subaru_usa
2019-12-11T00:00:00Z,FOXNEWSW_20191211_170000_Outnumbered,subaru,subaru,subaru_usa
2019-12-11T00:00:00Z,FOXNEWSW_20191211_170000_Outnumbered,subaru,subaru,subaru_usa
2019-12-12T00:00:00Z,FOXNEWSW_20191212_180000_Outnumbered_Overtime_With_Harris_Faulkner,sofi,sofi,sofi
2019-12-08T00:00:00Z,FOXNEWSW_20191208_200000_The_Journal_Editorial_Report,sofi,sofi,sofi
2019-12-08T00:00:00Z,FOXNEWSW_20191208_230000_FOX_Report_With_Jon_Scott,samsung,samsung,samsung
2019-12-12T00:00:00Z,FOXNEWSW_20191212_030000_The_Ingraham_Angle,safelite,safelite,safelite
2019-12-11T00:00:00Z,FOXNEWSW_20191211_230000_Special_Report_With_Bret_Baier,safelite,safelite,safelite
2019-12-12T00:00:00Z,FOXNEWSW_20191212_070000_The_Ingraham_Angle,safelite,safelite,safelite
2019-12-08T00:00:00Z,FOXNEWSW_20191208_220000_The_Greg_Gutfeld_Show,safelite,safelite,safelite
2019-12-11T00:00:00Z,FOXNEWSW_20191211_110000_FOX__Friends,safelite,safelite,safelite
2019-12-07T00:00:00Z,FOXNEWSW_20191207_100000_The_Five,safelite,safelite,safelite
