date,identifier,product,company_name,company_twitter
2019-05-07T00:00:00Z,FOXNEWSW_20190507_060000_The_Ingraham_Angle,usaa,usaa,usaa
2019-05-07T00:00:00Z,FOXNEWSW_20190507_020000_The_Ingraham_Angle,usaa,usaa,usaa
2019-05-07T00:00:00Z,FOXNEWSW_20190507_050000_Hannity,toujeo,sanofi,sanofi
2019-05-07T00:00:00Z,FOXNEWSW_20190507_010000_Hannity,toujeo,sanofi,sanofi
2019-05-07T00:00:00Z,FOXNEWSW_20190507_130000_Americas_Newsroom_With_Bill_Hemmer_and_Sandra_Smith,safelite,safelite,safelite
2019-05-07T00:00:00Z,FOXNEWSW_20190507_070000_Fox_News__Night_With_Shannon_Bream,safelite,safelite,safelite
2019-05-07T00:00:00Z,FOXNEWSW_20190507_060000_The_Ingraham_Angle,safelite,safelite,safelite
2019-05-07T00:00:00Z,FOXNEWSW_20190507_160000_Outnumbered,newday usa,newday usa,newdayusa
2019-05-07T00:00:00Z,FOXNEWSW_20190507_090000_Fox_and_Friends_First,expedia,expedia,expedia
2019-05-07T00:00:00Z,FOXNEWSW_20190507_040000_Tucker_Carlson_Tonight,essilor,essilor,essilor
2019-05-07T00:00:00Z,FOXNEWSW_20190507_050000_Hannity,essilor,essilor,essilor
2019-05-07T00:00:00Z,FOXNEWSW_20190507_050000_Hannity,trulicity,eli lilly,lillypad
2019-05-07T00:00:00Z,FOXNEWSW_20190507_010000_Hannity,trulicity,eli lilly,lillypad
2019-05-07T00:00:00Z,FOXNEWSW_20190507_020000_The_Ingraham_Angle,scholl,dr. scholl's,drscholls
2019-05-07T00:00:00Z,FOXNEWSW_20190507_090000_Fox_and_Friends_First,custom ink,custom ink,customink
2019-05-07T00:00:00Z,FOXNEWSW_20190507_000000_Tucker_Carlson_Tonight,comcast business,comcast,comcast
2019-05-07T00:00:00Z,FOXNEWSW_20190507_090000_Fox_and_Friends_First,otezla,celgene,celgene
2019-05-07T00:00:00Z,FOXNEWSW_20190507_030000_Fox_News__Night_With_Shannon_Bream,brita,amgen,amgen
2019-05-07T00:00:00Z,FOXNEWSW_20190507_020000_The_Ingraham_Angle,brita,amgen,amgen
2019-05-07T00:00:00Z,FOXNEWSW_20190507_030000_Fox_News__Night_With_Shannon_Bream,humira,abbvie,abbvie
