date,identifier,product,company_name,company_twitter
2019-05-16T00:00:00Z,FOXNEWSW_20190516_100000_FOX__Friends,usaa,usaa,usaa
2019-05-16T00:00:00Z,FOXNEWSW_20190516_130000_Americas_Newsroom_With_Bill_Hemmer_and_Sandra_Smith,usaa,usaa,usaa
2019-05-16T00:00:00Z,FOXNEWSW_20190516_080000_Fox_and_Friends_First,tripadvisor,tripadvisor,tripadvisor
2019-05-16T00:00:00Z,FOXNEWSW_20190516_060000_The_Ingraham_Angle,safelite,safelite,safelite
2019-05-16T00:00:00Z,FOXNEWSW_20190516_070000_Fox_News__Night_With_Shannon_Bream,safelite,safelite,safelite
2019-05-16T00:00:00Z,FOXNEWSW_20190516_130000_Americas_Newsroom_With_Bill_Hemmer_and_Sandra_Smith,cosentyx,novartis,novartis
2019-05-16T00:00:00Z,FOXNEWSW_20190516_160000_Outnumbered,newday usa,newday usa,newdayusa
2019-05-16T00:00:00Z,FOXNEWSW_20190516_130000_Americas_Newsroom_With_Bill_Hemmer_and_Sandra_Smith,newday usa,newday usa,newdayusa
2019-05-16T00:00:00Z,FOXNEWSW_20190516_090000_Fox_and_Friends_First,geico,geico,geico
2019-05-16T00:00:00Z,FOXNEWSW_20190516_090000_Fox_and_Friends_First,expedia,expedia,expedia
2019-05-16T00:00:00Z,FOXNEWSW_20190516_040000_Tucker_Carlson_Tonight,essilor,essilor,essilor
2019-05-16T00:00:00Z,FOXNEWSW_20190516_020000_The_Ingraham_Angle,verzenio,eli lilly,lillypad
2019-05-16T00:00:00Z,FOXNEWSW_20190516_090000_Fox_and_Friends_First,custom ink,custom ink,customink
2019-05-16T00:00:00Z,FOXNEWSW_20190516_000000_Tucker_Carlson_Tonight,comcast business,comcast,comcast
2019-05-16T00:00:00Z,FOXNEWSW_20190516_030000_Fox_News__Night_With_Shannon_Bream,otezla,celgene,celgene
2019-05-16T00:00:00Z,FOXNEWSW_20190516_050000_Hannity,brita,amgen,amgen
2019-05-16T00:00:00Z,FOXNEWSW_20190516_030000_Fox_News__Night_With_Shannon_Bream,humira,abbvie,abbvie
2019-05-16T00:00:00Z,FOXNEWSW_20190516_090000_Fox_and_Friends_First,humira,abbvie,abbvie
2019-05-16T00:00:00Z,FOXNEWSW_20190516_030000_Fox_News__Night_With_Shannon_Bream,heinz,kraft heinz company,kraftheinzco
2019-05-16T00:00:00Z,FOXNEWSW_20190516_040000_Tucker_Carlson_Tonight,sofi,sofi,sofi
2019-05-16T00:00:00Z,FOXNEWSW_20190516_100000_FOX__Friends,seresto,bayer,bayer
